Date of deployment,Time,Date of collection,Time,Camera number,Location (OS coordinates),Species,Count,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
24/02/2017,10:36am,02/03/2017,13:05pm,2,"51.918329, -2.305714",Badger,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,Same Individual
24/02/2017,10:36am,02/03/2017,13:05pm,2,"51.918329, -2.305714",Badger,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,Same Individual
24/02/2017,10:36am,02/03/2017,13:05pm,2,"51.918329, -2.305714",Badger,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,Same Individual
24/02/2017,10:36am,02/03/2017,13:05pm,2,"51.918329, -2.305714",Squirrel,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,
24/02/2017,10:36am,02/03/2017,13:05pm,2,"51.918329, -2.305714",Badger,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,
24/02/2017,10:36am,02/03/2017,13:05pm,2,"51.918329, -2.305714",Badger,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,Same Individual
24/02/2017,10:36am,02/03/2017,13:05pm,2,"51.918329, -2.305714",Badger,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,Same Individual
24/02/2017,10:36am,02/03/2017,13:05pm,2,"51.918329, -2.305714",Hare,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,Footage Provided
24/02/2017,10:36am,02/03/2017,13:05pm,2,"51.918329, -2.305714",Squirrel,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,
24/02/2017,10:36am,02/03/2017,13:05pm,2,"51.918329, -2.305714",Badger,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,Same Individual
24/02/2017,10:36am,02/03/2017,13:05pm,2,"51.918329, -2.305714",Badger,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,Same Individual
24/02/2017,10:36am,02/03/2017,13:05pm,2,"51.918329, -2.305714",Badger,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,Same Individual
24/02/2017,10:36am,02/03/2017,13:05pm,2,"51.918329, -2.305714",Rabbit,1,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,
24/02/2017,10:36am,02/03/2017,13:05pm,2,"51.918329, -2.305714",Deer,2,Woodland,Broadleaved,"Sparse shrub layer, Sparse field layer",Alice + James,Lucy Bearman - Brown,Footage Provided
